Accident_ID,Accident_Severity,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Time,Age_of_Vehicle,Number_of_Vehicles,Number_of_Casualties,Vehicle_Type,Vehicle_Manoeuvre,Sex_of_Driver,Age_Band_of_Driver,Driver_Home_Area_Type,Junction_Control,Carriageway_Hazards,Skidding_and_Overturning,Hit_Object_in_Carriageway,latitude,longitude
ACC00001,1,47.7822990868903,Daylight,Fine,Dry,Urban,Morning,8,3,1,Motorcycle,Going ahead,Male,26-35,Urban area,Give way,,,,51.8365976982352,-0.466476566635328
ACC00002,1,48.6209127665068,Daylight,Fine,Snow,Urban,Morning,1,1,3,Car,Turning right,Female,36-45,Urban area,Auto traffic signal,,,,51.5962100862679,0.0013130422065673
ACC00003,1,76.9067975434928,Daylight,Fine,Wet,Urban,Early Morning,1,1,1,Motorcycle,Going ahead,Female,26-35,Urban area,Auto traffic signal,,,Kerb,51.5959988499712,-0.36235799923944
ACC00004,3,89.9199792877295,Darkness,Fog,Icy,Rural,Afternoon,38,2,7,Bus,Overtaking,Male,65+,Rural area,Uncontrolled,Parked vehicle,Skidded,Other object,51.3066645331101,0.157692453681632
ACC00005,3,67.6642732026776,Darkness,Fog,Icy,Rural,Early Morning,6,4,1,Bus,Overtaking,Female,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,52.5018903896906,-0.534768423466434
ACC00006,2,21.9210601296172,Daylight,Rain,Icy,Urban,Evening,12,4,2,Motorcycle,Turning right,Male,36-45,Rural area,Auto traffic signal,Previous accident,Skidded,,52.6750860217684,0.383278738994411
ACC00007,3,46.3973997022043,Darkness,Fog,Snow,Rural,Night,18,1,4,Motorcycle,Overtaking,Female,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Other object,52.1929359578053,-0.21683381568342
ACC00008,1,20.8043437647082,Daylight,Fine,Icy,Urban,Afternoon,1,1,1,Car,Going ahead,Female,36-45,Urban area,Auto traffic signal,Parked vehicle,,,52.0589138088923,-0.49670921263164
ACC00009,1,-11.9828421021408,Daylight,Fine,Snow,Urban,Morning,15,2,1,Van,Going ahead,Male,26-35,Urban area,Not at junction,,,,51.6300916500137,0.164659009452353
ACC00010,1,-4.321918099484,Daylight,Fine,Wet,Urban,Morning,21,4,3,Van,Overtaking,Female,36-45,Urban area,Give way,,,,52.0116324821904,0.370658005248073
ACC00011,1,53.1552240788934,Daylight,Fine,Dry,Urban,Early Morning,15,1,1,Van,Going ahead,Female,26-35,Urban area,Give way,,,,51.8423352375505,0.370120534135109
ACC00012,2,80.6955519538884,Daylight,Snow,Wet,Rural,Night,1,5,2,Car,Turning right,Female,36-45,Urban area,Give way,,Skidded,,52.6734482314516,-0.116393447422669
ACC00013,3,61.1046499702609,Darkness - lights unlit,Snow,Icy,Rural,Early Morning,3,4,5,Motorcycle,Turning right,Female,26-35,Urban area,Not at junction,Previous accident,Overturned,Kerb,51.5874498798917,-0.362138971172409
ACC00014,2,15.9475648317207,Daylight,Rain,Wet,Urban,Evening,1,6,2,Truck,Slowing or stopping,Male,36-45,Rural area,Auto traffic signal,Parked vehicle,,Central island,52.1859791988155,0.127269696691002
ACC00015,3,1.91027028136294,Darkness,Snow,Icy,Rural,Night,12,1,3,Truck,Turning right,Male,65+,Rural area,Auto traffic signal,Previous accident,Skidded,Other object,51.3871899833232,0.350555843418286
ACC00016,1,54.0772523395057,Daylight,Fine,Dry,Urban,Afternoon,1,1,1,Van,Going ahead,Male,26-35,Urban area,Give way,,,,52.5485762136395,0.179619167517274
ACC00017,3,43.2295495589797,Darkness - lights unlit,Rain,Wet,Rural,Night,27,2,2,Motorcycle,Overtaking,Female,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,52.0501381656699,-0.379453222246425
ACC00018,1,-9.44219412654612,Daylight,Mist,Dry,Urban,Morning,22,3,1,Van,Turning right,Male,36-45,Urban area,Give way,,,,52.0973029030422,-0.169810309683063
ACC00019,2,44.0509756468454,Daylight,Rain,Wet,Rural,Evening,1,4,2,Motorcycle,Turning right,Male,56-65,Urban area,Uncontrolled,Previous accident,Skidded,Central island,51.4404669491496,-0.1853067878685
ACC00020,3,69.1534818071403,Darkness - lights unlit,Mist,Icy,Rural,Evening,19,1,4,Motorcycle,Overtaking,Male,65+,Rural area,Not at junction,Previous accident,Overturned,Kerb,51.1048754668185,-0.436056085805049
ACC00021,1,20.2072622621976,Daylight,Fine,Dry,Urban,Afternoon,1,4,1,Motorcycle,Slowing or stopping,Male,26-35,Urban area,Give way,Parked vehicle,,,52.6520295406256,0.0156135518356055
ACC00022,2,32.9011687649495,Darkness,Fine,Wet,Urban,Evening,12,1,1,Truck,Turning right,Male,36-45,Urban area,Uncontrolled,Previous accident,,Central island,51.2392033124035,-0.488345755866111
ACC00023,1,38.314266473959,Daylight,Fine,Dry,Urban,Afternoon,22,1,3,Van,Going ahead,Female,65+,Urban area,Give way,,,Other object,51.7582098140285,0.181267078485643
ACC00024,1,9.56468108288521,Daylight,Mist,Dry,Urban,Morning,7,4,1,Van,Turning right,Female,26-35,Urban area,Uncontrolled,,Skidded,,51.110587708075,-0.0060160823125589
ACC00025,1,10.0608903686103,Daylight,Fine,Dry,Urban,Morning,8,1,1,Motorcycle,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,,51.6006987876443,0.491731852374213
ACC00026,3,54.4257285313119,Darkness,Rain,Wet,Rural,Morning,14,2,2,Motorcycle,Turning right,Male,56-65,Rural area,Auto traffic signal,Previous accident,Skidded,Kerb,52.359836676369,-0.366765833584279
ACC00027,2,26.4617127969706,Street lights,Rain,Dry,Urban,Evening,16,5,1,Bus,Turning right,Female,46-55,Urban area,Uncontrolled,Previous accident,Skidded,Central island,51.3408661900365,0.31943645329795
ACC00028,2,14.9142080217859,Darkness,Fine,Icy,Rural,Night,6,3,1,Motorcycle,Slowing or stopping,Male,36-45,Rural area,Uncontrolled,Previous accident,,,52.4952575039417,0.367253825191566
ACC00029,2,16.2198263953067,Darkness,Rain,Dry,Rural,Evening,24,2,4,Car,Turning right,Female,36-45,Urban area,Auto traffic signal,Parked vehicle,,Central island,52.317244739108,-0.237673945814744
ACC00030,3,47.8969753472792,Darkness,Rain,Snow,Urban,Early Morning,12,4,1,Truck,Going ahead,Female,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,52.319868820913,-0.477636875768696
ACC00031,3,69.1215539494428,Darkness,Fog,Wet,Urban,Early Morning,19,5,3,Motorcycle,Overtaking,Male,46-55,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Other object,52.2000296788808,-0.248512078233662
ACC00032,3,67.9823736412938,Darkness,Fog,Dry,Rural,Early Morning,18,2,3,Motorcycle,Overtaking,Female,46-55,Rural area,Uncontrolled,Previous accident,Skidded,Kerb,52.1036733770208,0.0733535980195388
ACC00033,3,64.6248725192345,Darkness - lights unlit,Rain,Snow,Urban,Early Morning,1,2,4,Bus,Turning right,Male,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,52.4427879858906,0.0309353314521896
